id,query_term,handle,tweet,date,language
1642704084531838977,မိုင်း,KawYee2,RT @aung_myim: ၃၁ရက် နံနက်ပိုင်းတွင် မြောင်မြိုနယ်၊နဘတ်ရွာ​နေPDFအမည်ခံအကြမ်းဖက်သမားများက ပြည်သူများအားမတရားချုပ်​နှောင်ဖမ်းဆီးနှိပ်စက်​နေ​…,2023-04-03,UNKNOWN
1643034671784267777,ied AND explosive,runner_rainbow,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642941138918162452,ied AND explosive,Weerawa72788638,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642913613294993408,ied AND explosive,Korn_Arch,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642903971185688577,ied AND explosive,DekyingNumtarn,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642900530774298625,ied AND explosive,nut42896395,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642898907742220290,ied AND explosive,PeatJade,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642884303280566272,ied AND explosive,Stingraei,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642868724469473281,ied AND explosive,sunun16599749,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642868305513033728,ied AND explosive,huntercat_ning,RT @radhakarn: รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://…,2023-04-03,th
1642867958031745024,ied AND explosive,radhakarn,รู้จักและระวังภัย!! “ระเบิดแสวงเครื่อง” (Improvised Explosive Device : IED) ระเบิดทำลายล้าง ใน 3 จังหวัดชายแดนใต้!! https://t.co/hgX7MGtr6g #ImprovisedExplosiveDevice #IED ?,2023-04-03,th
